0CT3,heliport,41.661598,-72.787903,431,,519991,50.75,402678,329001
0CT4,heliport,41.506199,-72.939796,400,,499635,51.49,390985,311072
0CT5,heliport,41.774502,-72.698997,184,,533382,50.13,409356,341942
0CT6,heliport,41.596802,-72.704498,113,,521440,51.84,410003,322176
0CT7,heliport,41.188408,-73.166700,80,,464013,53.68,373882,274809
0CT8,heliport,41.405297,-73.445165,510,,459134,49.56,349456,297800
0CT9,heliport,41.754501,-72.678703,211,,533410,50.43,411163,339812
0D7,small_airport,40.790600,-83.829102,949,,573482,294.64,-521252,239118
0G0,small_airport,43.103199,-78.703300,588,,486838,349.72,-86844,479030
0JY9,heliport,38.422373,-83.752604,943,,533132,267.40,-532583,-24175
0KY0,small_airport,38.622799,-84.778900,890,,620037,270.42,-620020,4526
0KY3,closed,38.561404,-83.952795,604,,548971,269.21,-548918,-7561
0KY6,closed,38.268299,-82.577499,560,,433925,263.72,-431321,-47467
0KY8,closed,37.117199,-83.736099,850,,566568,252.63,-540725,-169163
0KY9,closed,37.113602,-82.803596,1300,,490350,249.14,-458200,-174630
0MA2,heliport,42.540901,-71.762802,450,,646460,48.11,481220,431668
0MA3,heliport,41.786224,-71.231437,100,,636286,56.54,530820,350842
0MA9,heliport,42.503101,-71.908401,1230,,634492,47.74,469576,426706
0MD0,heliport,39.137600,-76.623299,77,,95154,66.44,87221,38035
0MD1,small_airport,39.187302,-75.792702,75,,164905,74.28,158737,44679
0MD2,small_airport,38.287781,-76.867575,16,,87707,130.24,66946,-56663
0MD3,closed,39.297725,-76.592941,260,,105621,58.07,89636,55869
0MD4,small_airport,39.266800,-76.187202,47,,135368,66.99,124602,52906
0MD5,closed,39.087886,-76.882281,285,,72518,63.56,64932,32292
0MD6,small_airport,39.381199,-77.105797,750,,79127,35.06,45451,64771
0MD7,heliport,38.909302,-76.119698,20,,131741,84.23,131073,13253
0MD8,heliport,39.245899,-76.676102,30,,96518,58.78,82541,50028
0MD9,heliport,38.560846,-76.595979,143,,93993,106.10,90306,-26067
0MI7,heliport,42.042987,-83.358950,603,,603803,308.47,-472763,375598
0MI9,heliport,42.367500,-83.084396,633,,607362,312.49,-447870,410245
0N4,small_airport,39.202301,-75.485497,22,,191022,75.78,185169,46925
0N5,heliport,39.148231,-75.503451,30,,188254,77.46,183763,40878
0N6,small_airport,39.012602,-75.533501,50,,183335,81.93,181519,25740
0NC0,heliport,35.398800,-77.949699,106,,379214,184.32,-28576,-378135
0NC1,closed,35.457100,-82.375397,3608,,560920,229.97,-429524,-360750
0NC2,heliport,35.204973,-79.458234,460,,431265,202.61,-165795,-398122
0NC3,heliport,35.875198,-76.699699,19,,335543,165.45,84273,-324788
0NC4,heliport,35.786800,-78.585800,245,,345437,194.39,-85837,-334603
0NC5,heliport,35.918900,-77.789200,156,,320642,182.49,-13926,-320339
0NC6,heliport,36.131302,-77.418900,113,,297343,176.26,19380,-296710
0NC7,small_airport,36.364810,-79.996140,700,,341466,218.27,-211507,-268074
0NC8,small_airport,35.755699,-80.735298,830,,435650,219.98,-279904,-333833
0NC9,heliport,36.330700,-78.449699,465,,283800,194.91,-73038,-274241
0NJ0,heliport,39.358970,-74.434672,82,,283104,76.31,275064,66988
0NJ1,heliport,39.907299,-74.234901,54,,317161,66.09,289942,128547
0NJ2,heliport,40.752899,-74.439903,280,,348809,50.49,269121,221905
0NJ3,heliport,39.966801,-74.799599,45,,276030,61.07,241591,133515
0NJ4,heliport,40.940701,-74.461502,103,,360506,47.68,266559,242716
0NJ5,small_airport,40.885899,-74.705704,1040,,341035,46.23,246251,235935
0NJ6,small_airport,39.316799,-74.632896,8,,265461,76.56,258186,61722
0NJ7,heliport,40.737818,-74.118655,8,,369727,53.25,296238,221227
